Time (Days),Gas Volume,Oil Volume,Water Volume 
1,4.45783,0,332
2,10.23198,0,482
3,11.90695,0,541
4,11.73224,0,556
5,10.88005,0,538
6,10.35072,0,513
7,9.87737,0,487
8,9.45001,0,487.05
9,9.21744,0,435
10,7.63723,0,315
11,8.0456,0,362
12,8.06913,0,0
13,7.51533,0,272
14,7.89041,0,390
15,6.6308,0,195
16,4.88523,0,200
17,4.85302,0,203
18,4.89971,0,188
19,4.88705,0,207
20,4.98209,0,99
21,5.51854,0,184
22,4.86643,0,150
23,5.693,0,170
24,5.38449,0,160
25,5.42089,0,147
26,4.97077,0,154
27,6.16486,0,272
28,7.19673,0,268
29,4.9967,0,269
30,5.02007,0,163
31,5.05591,0,150
32,5.08213,0,158
33,4.88569,0,160
34,6.10395,0,260
35,7.97719,0,290
36,7.57686,0,330
37,6.78966,0,312
38,6.51609,0,278
39,3.22014,0,40
40,2.87667,0,54
41,6.98997,0,300
42,5.12501,0,200
43,3.33906,0,177
44,4.50897,0,145
45,4.71779,0,122
46,2.86693,0,80
47,4.29813,0,100
48,5.45482,0,96
49,2.03325,0,373
50,0,0,0
51,0,0,0
52,5.54177,0,48
53,5.4836,0,75
54,4.72465,0,78
55,4.41254,0,75
56,4.13652,0,105
57,4.01115,0,105
58,4.96948,0,112.01
59,4.95719,0,88
60,4.64803,0,130
61,3.48629,0,129
62,3.70481,0,94
63,4.5742,0,140
64,2.98917,0,60
65,1.77793,0,30
66,5.08701,0,90
67,4.63664,0,88
68,4.40089,0,123
69,4.23366,0,124
70,4.19318,0,116
71,4.00177,0,112
72,3.90826,0,98
73,4.09975,0,135
74,4.03101,0,113
75,3.86683,0,115
76,3.81966,0,123
77,3.74103,0,100
78,3.5766,0,88
79,3.68252,0,80
80,3.63077,0,90
81,3.66918,0,94
82,3.60179,0,100
83,2.78073,0,60
84,2.8226,0,39
85,3.75635,0,95
86,3.61585,0,108
87,3.469,0,97
88,3.49578,0,93
89,3.4794,0,100
90,3.45195,0,90
91,3.11347,0,62
92,3.54697,0,55
93,3.22652,0,76
94,3.38008,0,92
95,3.25398,0,80
96,3.22071,0,82
97,3.22774,0,95
98,3.26071,0,70
99,3.15949,0,80
100,3.23569,0,80
101,3.16313,0,83
102,3.05771,0,76
103,3.1255,0,0
104,2.26561,0,20
105,4.38821,0,80
106,3.39063,0,82
107,3.13587,0,72
108,3.20717,0,76
109,3.14955,0,82
110,2.80368,0,67
111,2.96689,0,88
112,2.97111,0,82
113,2.94531,0,80
114,2.89097,0,59
115,2.94565,0,72
116,2.89513,0,74
117,2.90388,0,67
118,2.92619,0,72
119,2.89087,0,70
120,2.82346,0,73
121,2.88685,0,73
122,0,0,0
123,2.83256,0,60
124,2.80814,0,72
125,2.79244,0,57
126,2.71039,0,65
127,2.74978,0,63
128,2.37476,0,42
129,2.052,0,30
130,2.969,0,75
131,2.714,0,65
132,2.658,0,67
133,2.65797,0,60
134,2.58363,0,55
135,2.60326,0,53
136,2.562,0,65
137,2.481,0,67
138,2.459,0,55
139,2.61597,0,60
140,2.56808,0,60
141,2.50234,0,57
142,2.24599,0,55
143,2.557,0,53
144,2.50554,0,47
145,2.50439,0,60
146,2.49518,0,65
147,2.49252,0,60
148,2.44764,0,55
149,2.45525,0,57
150,2.46295,0,60
151,2.46386,0,62
152,2.45532,0,48
153,2.40004,0,58
154,2.38388,0,55
155,2.3929,0,53
156,2.34798,0,49
157,2.35435,0,50
158,2.39565,0,60
159,2.36716,0,68
160,2.32551,0,52
161,2.31133,0,53
162,2.30888,0,55
163,2.30737,0,60
164,2.29614,0,64
165,2.28378,0,55
166,2.24223,0,50
167,2.17232,0,42
168,1.99403,0,40
169,2.27535,0,64
170,2.33832,0,58
171,2.28902,0,59
172,2.25082,0,60
173,2.24309,0,55
174,2.26146,0,58
175,2.2427,0,53
176,2.15477,0,53
177,2.13827,0,44
178,2.16717,0,50
179,2.16476,0,53
180,2.19329,0,50
181,2.15006,0,50
182,2.14171,0,47
183,2.18754,0,49
184,2.17049,0,48
185,2.12801,0,0
186,2.10645,0,43
187,2.11586,0,44
188,2.08846,0,47
189,2.05891,0,43
190,2.06889,0,47
191,2.0953,0,48
192,2.09935,0,50
193,2.07873,0,44
194,1.97861,0,47
195,1.99015,0,40
196,2.0513,0,42
197,2.05211,0,35
198,1.58646,0,17
199,2.13043,0,38
200,2.00863,0,43
201,1.98116,0,42
202,1.95761,0,40
203,1.94201,0,42
204,1.9463,0,42
205,1.92495,0,40
206,1.90016,0,40
207,1.89204,0,40
208,1.90857,0,40
209,1.94541,0,35
210,1.92466,0,42
211,1.91151,0,44
212,1.907,0,43
213,1.87338,0,40
214,1.86,0,40
215,1.88225,0,39
216,1.82522,0,39
217,1.84551,0,35
218,1.79181,0,38
219,1.86132,0,34
220,1.86125,0,40
221,1.82502,0,41
222,1.82502,0,38
223,1.81899,0,40
224,1.40745,0,12
225,1.40226,0,20
226,2.14815,0,41
227,1.88675,0,42
228,1.30668,0,42
229,0.11067,0,0
230,2.56028,0,29
231,2.17452,0,35
232,1.71777,0,35
233,1.89574,0,36
234,0.85113,0,13
235,2.38948,0,33
236,1.93684,0,40
237,1.85936,0,40
238,1.83238,0,37
239,1.84132,0,40
240,1.85501,0,39
241,1.84672,0,41
242,1.82855,0,40
243,1.82264,0,39
244,1.81478,0,40
245,1.79224,0,42
246,1.78772,0,40
247,1.77109,0,37
248,1.69024,0,28
249,1.50434,0,20
250,1.83293,0,38
251,1.77311,0,38
252,1.75759,0,32
253,1.73688,0,38
254,1.75334,0,39
255,1.71394,0,37
256,1.71865,0,39
257,1.70302,0,36
258,1.68848,0,34
259,1.69184,0,35
260,1.22198,0,13
261,1.69973,0,19
262,1.63609,0,33
263,1.66473,0,36
264,1.64345,0,32
265,1.61048,0,33
266,1.58548,0,39
267,1.59646,0,30
268,1.62245,0,23
269,1.61346,0,35
270,1.62626,0,30
271,1.615,0,34
272,1.60402,0,28
273,1.59956,0,33
274,1.58951,0,30
275,1.5011,0,24
276,1.50162,0,27
277,1.51548,0,25
278,1.5253,0,27
279,1.52573,0,30
280,1.52369,0,24
281,1.55174,0,28
282,1.56574,0,30
283,1.28548,0,20
284,1.44578,0,20
285,1.42017,0,18
286,1.41787,0,24
287,1.35706,0,22
288,1.40398,0,25
289,1.42747,0,23
290,1.42684,0,25
291,1.38711,0,21
292,1.39825,0,20
293,1.41767,0,20
294,1.48415,0,20
295,1.31685,0,21
296,1.73742,0,20
297,1.82222,0,41
298,1.73082,0,38
299,1.70908,0,38
300,1.27066,0,16
301,1.50548,0,12
302,1.61019,0,18
303,1.33419,0,27
304,1.5002,0,45
305,1.56978,0,40
306,1.51464,0,34
307,1.48957,0,30
308,1.46503,0,31
309,1.43917,0,30
310,1.43728,0,29
311,1.43495,0,28
312,1.42343,0,33
313,1.41612,0,31
314,1.41806,0,28
315,1.39674,0,30
316,1.40861,0,27
317,1.39316,0,27
318,1.37649,0,26
319,1.30635,0,20
320,1.30486,0,21
321,1.32429,0,23
322,1.32906,0,25
323,1.36016,0,28
324,1.331,0,24
325,1.29288,0,24
326,1.31152,0,24
327,1.32405,0,24
328,1.33598,0,28
329,1.32553,0,24
330,1.32,0,25
331,1.32674,0,25
332,1.3161,0,27
333,1.3098,0,27
334,1.32067,0,25
335,1.32958,0,25
336,1.31521,0,23
337,1.32369,0,28
338,1.30332,0,29
339,1.32455,0,27
340,1.21596,0,27
341,1.22089,0,26
342,1.27464,0,24
343,1.29985,0,24
344,1.31249,0,30
345,1.19486,0,15
346,1.24526,0,24
347,1.31306,0,24
348,1.27836,0,28
349,1.39344,0,38
350,1.36447,0,31
351,1.39247,0,33
352,0.94244,0,13
353,1.19276,0,15
354,1.33082,0,20
355,1.26556,0,24
356,1.3083,0,31
357,1.29586,0,27
358,1.29132,0,27
359,1.30924,0,31
360,1.37382,0,33
361,1.22538,0,31
362,1.25074,0,32
363,1.25548,0,27
364,1.24586,0,25
365,1.25171,0,24
366,1.25376,0,28
367,1.26996,0,28
368,1.28054,0,27
369,1.31566,0,31
370,1.26483,0,25
371,1.20936,0,23
372,1.17212,0,21
373,0.81498,0,13
374,0.80482,0,8
375,1.38857,0,20
376,1.21593,0,22
377,1.1972,0,24
378,1.31087,0,35
379,1.28453,0,30
380,1.23877,0,28
381,1.2332,0,26
382,1.21325,0,25
383,1.20501,0,28
384,1.19078,0,24
385,1.22846,0,28
386,1.198,0,43
387,1.16273,0,28
388,1.18311,0,28
389,1.21144,0,27
390,1.18515,0,27
391,1.16438,0,30
392,1.15988,0,25
393,1.17867,0,21
394,1.29145,0,32
395,1.03959,0,28
396,0.84342,0,28
397,1.25655,0,33
398,1.25894,0,28
399,1.19509,0,30
400,1.14767,0,27
401,1.16356,0,28
402,0.83175,0,15
403,1.23396,0,20
404,1.26809,0,32
405,1.21443,0,32
406,1.17523,0,27
407,1.17263,0,28
408,1.13443,0,20
409,1.18867,0,32
410,1.15042,0,25
411,1.14729,0,25
412,1.14704,0,30
413,1.1549,0,26
414,1.15546,0,27
415,1.16963,0,25
416,1.14484,0,30
417,1.12989,0,24
418,1.1401,0,25
419,1.14027,0,25
420,1.14683,0,25
421,0.92797,0,13
422,0.50247,0,3
423,0.55636,0,10
424,1.29954,0,13
425,1.37174,0,28
426,1.09557,0,20
427,1.1409,0,28
428,1.18777,0,28
429,1.16252,0,25
430,1.11444,0,27
